"dataHora";"discoPercent";"ramPercent";"cpuPercent"
"2023-10-19 15:19:23";33.7;73.1;3.0
"2023-10-19 15:19:24";33.7;73.1;3.5
"2023-10-19 15:19:25";33.7;73.2;2.8
"2023-10-19 15:19:26";33.7;73.2;2.1
"2023-10-19 15:19:27";33.7;73.2;2.8
"2023-10-19 15:19:28";33.7;73.2;2.8
"2023-10-19 15:19:29";33.7;73.2;1.9
"2023-10-19 15:19:30";33.7;73.2;2.7
"2023-10-19 15:19:31";33.7;73.2;2.2
"2023-10-19 15:19:32";33.7;73.2;2.7
"2023-10-19 15:19:33";33.7;73.1;1.9
"2023-10-19 15:19:34";33.7;73.1;1.5
"2023-10-19 15:19:35";33.7;73.0;1.2
"2023-10-19 15:19:36";33.7;73.0;3.3
"2023-10-19 15:19:37";33.7;73.0;2.5
"2023-10-19 15:19:38";33.7;73.0;2.4
"2023-10-19 15:19:39";33.7;73.0;3.2
"2023-10-19 15:19:40";33.7;72.8;1.7
"2023-10-19 15:19:41";33.7;72.9;4.4
"2023-10-19 15:19:42";33.7;72.9;1.3
"2023-10-19 15:19:43";33.7;72.9;2.2
"2023-10-19 15:19:44";33.7;72.9;3.6
"2023-10-19 15:19:45";33.7;72.9;1.4
"2023-10-19 15:19:46";33.7;72.9;4.0
"2023-10-19 15:19:47";33.7;72.9;3.7
"2023-10-19 15:19:48";33.7;72.9;1.7
"2023-10-19 15:19:49";33.7;72.9;2.3
"2023-10-19 15:19:50";33.7;72.9;2.9
"2023-10-19 15:19:51";33.7;72.9;1.8
"2023-10-19 15:19:52";33.7;72.9;2.7
"2023-10-19 15:19:53";33.7;72.9;4.1
"2023-10-19 15:19:54";33.7;72.9;0.9
"2023-10-19 15:19:55";33.7;72.9;2.8
"2023-10-19 15:19:56";33.7;72.9;1.2
"2023-10-19 15:19:57";33.7;73.0;2.2
"2023-10-19 15:19:58";33.7;73.0;0.9
"2023-10-19 15:19:59";33.7;73.0;2.1
"2023-10-19 15:20:00";33.7;73.0;2.4
"2023-10-19 15:20:01";33.7;73.0;1.8
"2023-10-19 15:20:02";33.7;72.9;1.5
"2023-10-19 15:20:03";33.7;72.9;1.4
"2023-10-19 15:20:04";33.7;72.7;2.7
"2023-10-19 15:20:05";33.7;73.3;4.6
"2023-10-19 15:20:06";33.7;73.3;1.6
"2023-10-19 15:20:07";33.7;73.3;2.2
"2023-10-19 15:20:08";33.7;73.4;4.3
"2023-10-19 15:20:09";33.7;73.4;0.8
"2023-10-19 15:20:10";33.7;73.4;2.3
"2023-10-19 15:20:12";33.7;73.4;1.9
"2023-10-19 15:20:13";33.7;73.5;1.9
"2023-10-19 15:20:14";33.7;73.5;3.7
"2023-10-19 15:20:15";33.7;73.4;1.3
"2023-10-19 15:20:16";33.7;73.4;2.4
"2023-10-19 15:20:17";33.7;73.4;2.6
"2023-10-19 15:20:18";33.7;73.3;2.9
"2023-10-19 15:20:19";33.7;73.2;2.1
"2023-10-19 15:20:20";33.7;73.3;1.8
"2023-10-19 15:20:21";33.7;73.3;2.4
"2023-10-19 15:20:22";33.7;73.3;2.1
"2023-10-19 15:20:23";33.7;73.3;2.2
"2023-10-19 15:20:24";33.7;73.3;2.2
"2023-10-19 15:20:25";33.7;73.3;3.8
"2023-10-19 15:20:26";33.7;73.3;3.1
"2023-10-19 15:20:27";33.7;73.2;1.7
"2023-10-19 15:20:28";33.7;73.1;0.9
"2023-10-19 15:20:29";33.7;73.0;1.9
"2023-10-19 15:20:30";33.7;72.9;2.5
"2023-10-19 15:20:31";33.7;72.9;1.7
"2023-10-19 15:20:32";33.7;72.9;2.1
"2023-10-19 15:20:33";33.7;72.9;1.8
"2023-10-19 15:20:34";33.7;72.9;3.6
"2023-10-19 15:20:35";33.7;72.9;1.8
"2023-10-19 15:20:36";33.7;72.9;2.3
"2023-10-19 15:20:37";33.7;72.8;2.2
"2023-10-19 15:20:38";33.7;72.8;2.0
"2023-10-19 15:20:39";33.7;72.8;2.0
"2023-10-19 15:20:40";33.7;72.8;3.3
"2023-10-19 15:20:41";33.7;72.8;2.2
"2023-10-19 15:20:42";33.7;72.8;1.5
"2023-10-19 15:20:43";33.7;72.8;2.0
"2023-10-19 15:20:44";33.7;72.9;5.8
"2023-10-19 15:20:45";33.7;72.9;3.9
"2023-10-19 15:20:46";33.7;73.2;4.5
"2023-10-19 15:20:47";33.7;73.2;3.0
"2023-10-19 15:20:48";33.7;73.1;4.0
"2023-10-19 15:20:49";33.7;73.2;2.9
"2023-10-19 15:20:50";33.7;73.1;4.4
